job_title,company_name,sector,location,job_type,salary_range,experience_level,education_requirements,required_skills,responsibilities,years_experience,benefits,work_mode,posting_date,job_description_length,required_certifications,team_size,company_size,posting_platform,company_culture,visa_sponsorship,working_hours,language_requirements,travel_requirements,collaboration_tools,reporting_structure,learning_opportunities,stock_options,soft_skills,perks,job_id,via
Data Analytics Manager,GoodParty.org,Tech platform and movement,Anywhere,Full-time,"$105,000 - $200,000",3+ years,MBA or Master's with an Analytics or Mathematics focus,"SQL, Tableau, beginner Python proficiency, AI tools","Lead building organizational learning machine, design data system, ensure OKRs and KPIs, lead analytical projects, build strategic models, work on Candidate Viability model",3,"Innovative bonus plan, remote work, health, dental, vision benefits, unlimited PTO, workspace setup stipend, internet expense support, fully funded mission",Remote,,1591,,,,Jobs,Passionate team with diverse political views focused on one mission,Not available,,,,,Report to Chief Operating Officer,,,"Effective project management, attention to detail, proactive problem-solving","Fully remote work, health benefits, unlimited PTO, workspace stipend, internet expense support",eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5dGljcyBNYW5hZ2VyIiwiY29tcGFueV9uYW1lIjoiR29vZFBhcnR5Lm9yZyIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6IkptRWdNYmFlc2w1eTJXTXBBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Business Operations & Analytics Manager,Honor,Healthcare,Anywhere,Full-time,,7+ years,Bachelor’s in technical or business fields (MBA preferred),"Analytical skills, project management, strategic thinking, data analysis, cross-functional collaboration","Analyze and optimize data on wages, drive project management, lead monthly market reviews, develop key metrics and reports, collaborate for quality and efficiency, support financial planning, manage vendor relationships, present economic insights",7+ years,,Remote,9 days ago,Long,,,,Glassdoor,People-centric values,,,,,,,,,"Collaborative, empathetic, team-oriented, bias toward action and adaptability",,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBPcGVyYXRpb25zIFx1MDAyNiBBbmFseXRpY3MgTWFuYWdlciIsImNvbXBhbnlfbmFtZSI6Ikhvbm9yIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiUW5QeG1WZml5UDJ1enRlMkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Client Analytics Manager,Mozilla,Technology,Anywhere,Full-time,,Mid-Senior level,"Bachelor's degree in Business Administration, Marketing, with some exposure to Data Science, Math, Statistics, or related field","Client-facing roles within digital advertising, analytics, or marketing technology sectors, strong analytical skills, proficiency in data analysis and interpretation, excellent communication skills, project management experience, proficiency in analytics tools, familiarity with advertising platforms","Manage client relationships and engagements, collaborate with internal teams and clients, conduct kick-off meetings, develop configuration documents, oversee data integration processes, maintain communication with clients, develop delivery reports, collaborate with product management teams, nurture client relationships, work with cross-functional teams",,"Competitive salary and benefits package, opportunities for professional development and career growth, dynamic and collaborative work environment",Remote,5 days ago,Long,,,,Built In,Open and free internet advocate,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJDbGllbnQgQW5hbHl0aWNzIE1hbmFnZXIiLCJjb21wYW55X25hbWUiOiJNb3ppbGxhIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiRWgtbE5hRTEyUmd0MklUS0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
"Analytics Manager, Fraud and Risk","LE016 Red-Card Systems, LLC",Healthcare Technology,United States,Full-time,,3+ years leading a team of analysts or data scientists,Bachelor's degree in business and/or Computer Science or 7+ years equivalent work experience,"Microsoft SQL Studio, Snowflake, Python, PowerBI, Fraud Analytics","Develop structured analytics program, create analytics roadmap, refine process for managing requests, transform raw data into business insights, prepare data summaries and reports, optimize analytics function, enhance reporting of KPIs and SLAs, provide training to end-users, manage new requests and tasks, align projects with priorities",3+ years,Health insurance,Hybrid and remote friendly culture,,Long,,,,Workday,"Diverse, equitable, inclusive, and belonging",,,,,"Jupyter, Jira, Confluence",,,,"Excellent time management, prioritization, problem-solving, dynamic thinking",,eyJqb2JfdGl0bGUiOiJBbmFseXRpY3MgTWFuYWdlciwgRnJhdWQgYW5kIFJpc2siLCJjb21wYW55X25hbWUiOiJMRTAxNiBSZWQtQ2FyZCBTeXN0ZW1zLCBMTEMiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiI0TzdUakF6ZWJvMDJtNGlMQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Head of Analytics,Puffy,E-commerce,Dubai,Full-time,"Up to 75,000 AED + up to 10% monthly bonus",Senior,"Bachelor’s Degree in Computer Science, Mathematics, Machine Learning, AI, Statistics, or related field","Digital analytics, A/B testing, SQL, Python or R, leadership, strategic planning","Lead e-commerce analytics strategy, establish KPIs, analyze customer behavior, oversee A/B tests, mentor analytics team",At least 5 years in digital analytics in B2C companies,"Quick hiring process, tax-free income, relocation support, health insurance, organic snacks, central office location",Onsite,16 hours ago,Long,,,,LinkedIn,Diverse with 16+ nationalities,Yes,,,,,,Stay updated on e-commerce analytics trends,,"Influence, decision-making, communication","Forbes Member CEO, career growth opportunities",eyJqb2JfdGl0bGUiOiJIZWFkIG9mIEFuYWx5dGljcyAoSm9iIE9uc2l0ZSBCYXNlZCBpbiBEdWJhaSkiLCJjb21wYW55X25hbWUiOiJQdWZmeSIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6IjUyLVd0aXRkUHpUR2NhWUZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
"Senior Manager, Analytics (Marketing Data Science)",Rise,Marketing Data Science,United States,Full-time,,5-9 years,"Bachelor’s degree in Data Science, Statistics, Computer Science, Mathematics, or related field. Master’s degree preferred.","Proven experience in data science, statistical analysis, machine learning, team management, problem-solving, communication, Python or R programming, SQL, data visualization tools, analytical thinking, leadership, project management, collaboration. Spanish speaking is a plus.","Lead data analysis for media campaigns, develop and refine media effectiveness models, manage a team of data scientists, translate data insights into recommendations, present findings to clients, collaborate with cross-functional teams, stay updated with industry trends, propose improvements to models and methodologies.",5-9 years,,,,Long,"Certified Analytics Professional (CAP), Google Analytics Individual Qualification (GAIQ), or equivalent",Small team,,Quad/Graphics,,,,Spanish speaking is a plus,,Not specified,,,,,,eyJqb2JfdGl0bGUiOiJTZW5pb3IgTWFuYWdlciwgQW5hbHl0aWNzIChNYXJrZXRpbmcgRGF0YSBTY2llbmNlKSAtIERhbGxhcywgVFgiLCJjb21wYW55X25hbWUiOiJSaXNlIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiT1FiSkZOZHVKcmthcE8tLUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
"Director of Insights, Analytics & Business Intelligence",GE HEALTHCARE,Healthcare,Anywhere,Full-time,"$138,720.00-$208,080.00 Annual",Senior level,"Bachelor’s degree in Business, Economics, Life Sciences, or related field; MBA or advanced degree preferred","Strategic planning, Market insights, Competitive intelligence, Data-driven decision making, Cross-functional collaboration, Team leadership, Data analysis, Communication","Lead strategic planning, Oversee market insights and analytics, Develop competitive intelligence, Utilize data-driven decision making, Collaborate cross-functionally, Support product launches, Measure performance, Lead team, Prepare executive reports",10+ years,"Medical, dental, vision, paid time off, 401(k) plan, life insurance, disability insurance, accident insurance, tuition reimbursement",Remote,3 days ago,Long,,Not specified,Large,GE Healthcare Careers,Not specified,No,Not specified,,None,,Reports to senior leadership,Professional development,,"Stakeholder management, Prioritization, Adaptability, Innovation","Competitive compensation, Performance-based incentives",eyJqb2JfdGl0bGUiOiJEaXJlY3RvciBvZiBJbnNpZ2h0cywgQW5hbHl0aWNzIFx1MDAyNiBCdXNpbmVzcyBJbnRlbGxpZ2VuY2UiLCJjb21wYW55X25hbWUiOiJHRSBIRUFMVEhDQVJFIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoid0lqM1JBcVlQZDVBbVlrVEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Marketing & Business Analytics Manager,Professional Assist Corporation,Business Analytics,"Golden, CO",Full-time,"$85,000 - $100,000 a year",5+ years,Bachelor's degree or equivalent work experience desired,"Excel, MS SQL Server, T-SQL, SQL Server Reporting Services, MySQL, Python, R, Tableau, Power BI, SEM Rush","Analyze customer data, offer recommendations, work with stakeholders, develop insights, create reports, focus on business intelligence, make outreach calls",5+ years,"Comprehensive health insurance, generous PTO, 401k with employer matching, $400 annual Beauty and Wellness Allowance",Hybrid work environment,16 days ago,Long,,57 employees,Medium,Built In Colorado,"Supportive, empowering",Not available,"Flexible, hybrid work schedule",,,,Reports to PAC Senior Director of Marketing,Opportunity to grow skillset and take on new challenges,,"Interpersonal skills, project management, attention to detail","Empowering environment, Equal Opportunity Employer, Denver Post Top Workplace",eyJqb2JfdGl0bGUiOiJNYXJrZXRpbmcgXHUwMDI2IEJ1c2luZXNzIEFuYWx5dGljcyBNYW5hZ2VyIiwiY29tcGFueV9uYW1lIjoiUHJvZmVzc2lvbmFsIEFzc2lzdCBDb3Jwb3JhdGlvbiIsImFkZHJlc3NfY2l0eSI6IkdvbGRlbiwgQ08iLCJodGlkb2NpZCI6ImVhMDFtYkk3aWdHSDcza1lBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Manager of Advanced Analytics,"The Support Group, Inc. d/b/a Buchanan Technologies",,Anywhere,Full-time,,5 years of relevant experience,Bachelor's degree or 4 years of relevant work experience,"Familiarity with Agile methodologies, Proficient in MS Office Suite","Manage a team providing advanced analytics and reporting services, Develop and execute large-scale project plans on time and within budget, Act as the primary liaison with vendors and manage product lifecycles",,,Work from home,3 days ago,A company is looking for a Manager of Advanced Analytics 1.,,,,Virtual Vocations,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJNYW5hZ2VyIG9mIEFkdmFuY2VkIEFuYWx5dGljcyIsImNvbXBhbnlfbmFtZSI6IlRoZSBTdXBwb3J0IEdyb3VwLCBJbmMuIGQvYi9hIEJ1Y2hhbmFuIFRlY2hub2xvZ2llcyIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6Ik1pVS00Vjg0cXlhYkNhYjlBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
"Director, Advanced Analytics-PHARMA",Smith Hanley Associates,Pharmaceutical,United States,Full-time,"$220,000 - $240,000 + bonus",7+ years,"BA required, MA desired","Pharmaceutical Commercial Analytics, expertise with pharma data sets/processes, advanced analytics tools (SQL, SAS, R, Python, Tableau, PowerBI)","['Develop an analytic roadmap that aligns with the strategies for the business', 'Manage all analytics -- predictive analytics, targeting and segmentation, resource optimization, etc.', 'Create strategic insights and impactful solutions', 'Build strong relationships with stakeholders, collaborate across teams, and foster partnerships', 'Strategic planning and hands-on analytics to enable data-driven decisions', 'Analytics for business planning, forecasting, and reporting; understanding the patient journey; optimizing resource use; developing predictive models and insights']",7+ years,"['Salary- $220,000 - $240,000 + bonus']",,1 day ago,Long,,,,LinkedIn,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJEaXJlY3RvciwgQWR2YW5jZWQgQW5hbHl0aWNzLVBIQVJNQSIsImNvbXBhbnlfbmFtZSI6IlNtaXRoIEhhbmxleSBBc3NvY2lhdGVzIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiRnRxd0JtVHgzM1dEYWprY0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
"Senior Manager, Revenue Analytics",Attentive,Revenue Operations,United States,Full-time,"$170,000 - $200,000 annually + equity + benefits",8+ years,No degree mentioned,"Top tier quantitative analytical skills, SQL Proficiency, Experience with Looker, Tableau, Exceptional communication, Strong prioritization, Strategic thinking, Leadership capabilities","Lead and optimize operational analytics, forecasting, and reporting in support of Customer Success team, Drive business performance, Foster cross-functional collaboration, Develop forecasting models, Conduct white-space analyses, Lead predictive modeling, Collaborate with various teams, Develop talent, Communicate strategy and outcomes",8+ years,"Comprehensive benefits package, Professional development opportunities, Career advancement, Competitive perks, Health & wellness benefits, Equity",,,Long,,,,Lever,"Default to Action, Be One Unstoppable Team, Champion the Customer, Act Like an Owner",,,,,"SQL, Looker, Tableau",Reports to Sr. Director of CS Operations,Professional development opportunities,Equity,"Communication, Prioritization, Leadership","Health & wellness benefits, Competitive perks",eyJqb2JfdGl0bGUiOiJTZW5pb3IgTWFuYWdlciwgUmV2ZW51ZSBBbmFseXRpY3MiLCJjb21wYW55X25hbWUiOiJBdHRlbnRpdmUiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJyeXNwYkNla1RRdlZpZUtDQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Marketing Analytics Manager,Alterra Mtn Co Shared Services Inc.,Marketing Analytics,United States,Full-time,"$100,000 - $140,000 per year",5+ years,"BS/BA in economics, mathematics, statistics, computer science or related quantitative fields","Data analytics, data warehousing, ability to manipulate data and create data visualizations, communication skills","Lead marketing analytics practice, manage projects and vendor relationships, create presentations, provide technical guidance, coordinate statistical analysis, manage cross-functional relationships",5+ years,"Medical, dental, vision, life, AD&D, short-term & long-term disability insurance, EAP, HSAs, FSAs, 401(k) plan, paid parental leave, commuter benefits, flexible/hybrid workplace policy",Hybrid,19 days ago,Long,,,,Workday,"Collaboration, Authenticity, Purpose, Empowerment",,,,,Tableau,,,,"Interpersonal skills, problem-solving skills","Free Ikon Pass, discounted skiing/riding, flexible time off, generous discounts on outdoor gear, medical benefits, 401(k) match, commuter benefits, dog-friendly workplace",eyJqb2JfdGl0bGUiOiJNYXJrZXRpbmcgQW5hbHl0aWNzIE1hbmFnZXIiLCJjb21wYW55X25hbWUiOiJBbHRlcnJhIE10biBDbyBTaGFyZWQgU2VydmljZXMgSW5jLiIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6Ikc3RnZZMTZGZ3lZVTYzcGFBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
"Manager, Data Analytics",Ontra,AI-powered legal technology solutions for private capital investment firms,Anywhere,Full-time,"$144,000 - $216,000 USD",6+ years in analytics and 2+ years in management roles,No degree mentioned,"SQL, statistical methods, Python","['Grow Data Culture', 'Drive Results', 'Breaking down projects', 'Resilience', 'Coach', 'Accountability']",6+ years in analytics and 2+ years in management roles,"['Remote-first working policy', 'Twice yearly team offsites for in-person collaboration', 'Paid flexible time off policy', 'Paid parental leave and benefits', 'Monthly phone and internet reimbursement', 'Company-sponsored LinkedIn Learning accounts', 'Various options for medical, dental, and vision insurance']",Remote-first,9 days ago,Detailed,,,,Built In Los Angeles,Remote-first company that values connection and innovation,,,,Occasional travel required,"Segment, Amplitude, Mixpanel",Reports to Director of Data,,,"Resilience, Communication, Leadership","Health insurance, Dental insurance, Paid time off",eyJqb2JfdGl0bGUiOiJNYW5hZ2VyLCBEYXRhIEFuYWx5dGljcyIsImNvbXBhbnlfbmFtZSI6Ik9udHJhIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiRUh5MHlRczhqSHVCUEFqeUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Credit Analytics Manager,Empower Finance,Finance,Anywhere,Full-time,,3+ years,"Bachelor’s degree in Engineering, Business, Finance, Computer Science, or Mathematics","SQL, Python, data analytics, credit risk management","Optimize cash advance product, design and conduct tests, collaborate with cross-functional teams, drive product enhancements",3+ years,"['Competitive salary', 'Generous equity package', 'Full healthcare benefits', 'Technology expense reimbursement']",Remote-first,,Long,,,,Jobs,"Great Expectations, Owner Mindset, Spirited Debate, Customer Obsession, Inclusive Collaboration, No Jerks Allowed",,,,Travel for company offsites is expected at a minimum 2 times a year,,,,,"Structured problem-solving, effective communication",,eyJqb2JfdGl0bGUiOiJDcmVkaXQgQW5hbHl0aWNzIE1hbmFnZXIiLCJjb21wYW55X25hbWUiOiJFbXBvd2VyIEZpbmFuY2UiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJfT1lscUhhREQyQ2M2ODNQQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
GTM Analytics Manager,Chainguard,,Anywhere,Full-time,,5+ years,No degree mentioned,"Strategic problem solving, data-driven mindset, excellent communication, data visualization tools","Lead strategic business initiatives, provide data-driven insights, develop business intelligence solutions, communicate insights to stakeholders, build relationships with key stakeholders",5+ years,"Equity/stock options, Unlimited PTO, Remote work, Health/dental/vision insurance, Monthly Wellness budget",Remote,14 days ago,Long,,,,Built In,"Customer obsessed, bias for intentional action, don't take themselves too seriously, trust each other and assume good intentions",,,,,,,,Equity/stock options,,"Unlimited PTO, Remote work, Health/dental/vision insurance, Monthly Wellness budget",eyJqb2JfdGl0bGUiOiJHVE0gQW5hbHl0aWNzIE1hbmFnZXIiLCJjb21wYW55X25hbWUiOiJDaGFpbmd1YXJkIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiVDN1WVZYM3pfbjZLWTl2ekFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
"Senior Manager, Marketing Analytics",Vail Resorts,Marketing Analytics,United States,Full-time,"$116,040.30 - $130,000 + annual bonus",6+ years of digital/marketing/media analytics experience,"Bachelor's degree in Marketing, Data Analytics, a relevant technical field, or equivalent practical experience","SQL, Python, Adobe Analytics","Lead a team of analysts, own multiple lines of business reporting, lead audit and optimization of metadata, manage reporting pipelines, perform data analysis",6+ years,"Health insurance, dental insurance, 401(k) Retirement Plan, employee assistance program, free ski passes, professional development",Hybrid,2 days ago,Long,,,,Vail Resorts Jobs,Inclusive and diverse,,"Full-time, occasional weekend work",,,"Adobe Analytics, SQL, Python, Snowflake, Tableau, Microsoft Office, JIRA, Mouseflow, Meta, Smartly, Adobe Ad Cloud, Mailgun, Airship, Databricks",Reporting to the Director of Marketing Analytics and Test & Learn,"Advanced analytics projects, data automation, data democratization",,"Ability to communicate with stakeholders at various levels, comfortable in a fast-paced environment","Free skiing/riding, employee discounts, free ski lessons, critical illness and accident plans",eyJqb2JfdGl0bGUiOiJTZW5pb3IgTWFuYWdlciwgTWFya2V0aW5nIEFuYWx5dGljcyIsImNvbXBhbnlfbmFtZSI6IlZhaWwgUmVzb3J0cyIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6IlE0MS12NnFqdmR4eUNzc1dBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Manager - Strategy & Advanced Business Analytics,Ally Financial,,United States,Full-time,,,No degree mentioned,,"Leading valuations and performance analysis for consumer auto originations strategy, developing strategy and capability for optimizing origination strategy, working with key leaders within the Customer Operations organization and partner groups.",,,,,Long,,,,Avature,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJNYW5hZ2VyIC0gU3RyYXRlZ3kgXHUwMDI2IEFkdmFuY2VkIEJ1c2luZXNzIEFuYWx5dGljcyIsImNvbXBhbnlfbmFtZSI6IkFsbHkgRmluYW5jaWFsIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiWk1fUlVMRGVzUjVoeWZNc0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Epic Analytics Consultant,Jobs via Dice,Healthcare Analytics,Anywhere,Full-time,,Manager or Director level within a Health System,No degree mentioned,"Minimum of 10 years of experience in Healthcare Analytics, Extensive experience with Epic systems, Proficiency with Microsoft Azure and Epic Clarity/Caboodle/Cogito","Conduct an end to end review of Analytics Program, Enhance analytics capabilities, Provide strategic recommendations on staffing, program efficiency, systems and tools analysis, and future state enhancements",10,,Work from home,10 hours ago,Long,"Epic Clarity certification, Azure certification",,,LinkedIn,,,,,,Webcam interview,,,,,,eyJqb2JfdGl0bGUiOiJFcGljIEFuYWx5dGljcyBDb25zdWx0YW50IC0gTG9jYWxzIHRvIENBIC0gTW9zdGx5IHJlbW90ZSIsImNvbXBhbnlfbmFtZSI6IkpvYnMgdmlhIERpY2UiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJxWXhHTUVUQnhlUTVaLW0wQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
"Content Analytics Manager - Vice President, Wealth Management",JPMorganChase,Finance,United States,Full-time,,8+ years,,"Quantitative analysis, Data science, Machine learning, Python, SQL, Statistical modeling","['Direct the book of work for other analysts and own hands-on, technical work', 'Deliver insights to personalize messaging and optimize performance for wealth management content', 'Define an annual book of work leveraging analytics approaches', 'Develop and execute testing strategies for content engagement', 'Analyze website clickstream data to understand user behavior', 'Guide team members to improve analysis and develop dashboards', 'Partner with content leads and channel owners for optimization']",8+ years,"['Competitive total rewards package', 'Commission-based pay and discretionary incentive compensation', 'Comprehensive health care coverage', 'On-site health and wellness centers', 'Retirement savings plan', 'Backup childcare, tuition reimbursement, mental health support, financial coaching']",,24 days ago,Long,,,,Glassdoor,,,,,,,,,,"Excellent presentation skills, Influence, Team management",,eyJqb2JfdGl0bGUiOiJDb250ZW50IEFuYWx5dGljcyBNYW5hZ2VyIC0gVmljZSBQcmVzaWRlbnQsIFdlYWx0aCBNYW5hZ2VtZW50IiwiY29tcGFueV9uYW1lIjoiSlBNb3JnYW5DaGFzZSIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6IkhhNDV3RHJWYUUyblVOVVZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Deals Diligence Analytics Manager,PwC US Business Advisory LLP,Deals Management,United States,Full-time,"$100,000 - $232,000",Manager,Bachelor's Degree,"Financial analysis, Data analytics, Business intelligence software, Alteryx, Tableau, Excel, SQL, Power Query","Lead exceptional performing teams in data analytics and consulting, Supervise, develop, and coach teams, Manage client service accounts and drive engagement workstreams, Independently solve and analyze complex problems, Utilize team strengths to meet client expectations, Embrace technology and innovation to enhance delivery, Identify and pursue opportunities for improvement, Foster a collaborative and inclusive team environment",4 years,"Medical, Dental, Vision, 401k, Holiday pay, Vacation, and more",On-site,5 days ago,Long,CPA preferred,,,Workday,Purpose-led and values-driven,Not available,,,Up to 40%,"Alteryx, Tableau, Excel, SQL, Power Query",,PwC Professional framework,,"Problem-solving, Coaching, Analytical thinking, Communication",,eyJqb2JfdGl0bGUiOiJEZWFscyBEaWxpZ2VuY2UgQW5hbHl0aWNzIE1hbmFnZXIiLCJjb21wYW55X25hbWUiOiJQd0MgVVMgQnVzaW5lc3MgQWR2aXNvcnkgTExQIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiblhPcDd4WHdTLW8tQmluNkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Revenue Analytics & Enablement Manager,ACI Learning,Education & Training,Anywhere,Full-time,Not specified,Senior level,No degree mentioned,"Data analysis, Sales analytics, CRM systems proficiency","Data analysis & reporting, Sales process optimization, Sales enablement programs, Onboarding & development, Content development & management, Cross-functional collaboration, Performance evaluation, Sales tools & technology management",5+ years,"Comprehensive medical, dental, and vision coverage, Paid parental or medical leave, Flexible PTO policy, 401(k) retirement plan, Tuition assistance",Remote,25 days ago,Long,,,,ACI Learning,"Passionate, innovative, purpose-driven",,,,,,Reports to VP of Revenue Operations,"One free course each year, Tuition assistance",,"Excellent communication, Collaboration, Organizational excellence",,eyJqb2JfdGl0bGUiOiJSZXZlbnVlIEFuYWx5dGljcyBcdTAwMjYgRW5hYmxlbWVudCBNYW5hZ2VyIiwiY29tcGFueV9uYW1lIjoiQUNJIExlYXJuaW5nIiwiYWRkcmVzc19jaXR5IjoiTW9udGV6dW1hLCBDb2xvcmFkbyIsImh0aWRvY2lkIjoiWFBXRk9PUXpDMXhKemJyTEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
